time_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
4.55,0.744597,-2.851476,8.158309,-2.248815,-0.008685,-0.270278
4.575,0.048213,-4.846889,8.304058,-0.677581,0.467603,-0.13022
4.6,0.144966,-2.545792,8.879039,0.08426,0.204733,0.061666
4.625,0.260502,-3.271728,8.319432,0.223392,0.619916,-0.257497
4.65,0.372795,-0.282548,9.321666,0.735566,0.626675,0.089212
4.675,-0.860618,-1.09731,8.988123,-0.820396,0.610678,-0.426689
4.7,-0.696956,-2.949079,8.30025,-0.054519,0.325048,-0.106007
4.725,-0.958482,-1.627683,9.120942,-0.355171,0.112353,0.004874
4.75,-0.497137,-3.307534,9.070283,0.457897,-0.05671,0.210849
4.775,-1.167625,-2.642895,9.033736,1.094893,-0.040866,0.532573
4.8,-1.139663,-2.563712,9.286834,2.247568,-0.077579,0.416327
4.825,-0.985825,-0.527789,9.355012,1.879751,-0.230611,0.319661
4.85,-0.98309,-0.818481,8.535608,1.912133,-0.306846,-0.035792
4.875,0.164081,-0.213959,9.616303,1.892625,-0.709325,0.088987
4.9,0.173688,0.487238,9.051131,2.991697,-0.131687,0.246687
4.925,-1.346019,2.869151,10.632994,2.416279,-0.640266,0.293761
4.95,1.29837,3.25522,9.895834,1.230496,-0.588252,0.027807
4.975,0.482569,2.467523,10.107558,0.981384,-0.536661,-0.087428
5.0,1.390637,1.809171,10.543949,1.218863,0.313593,-0.189053
5.025,-1.258178,-2.523861,8.435098,3.082535,-0.596538,-0.42767
5.05,0.72798,5.690802,8.691606,5.517578,-0.038013,-0.219297
5.075,1.407805,9.724559,8.914892,2.406679,-0.670512,-0.048059
5.1,0.116679,9.348936,10.51173,0.92893,0.191976,0.211459
5.125,0.329778,6.547594,9.822983,-2.016647,-0.691756,-0.070082
5.15,0.574635,-1.324515,7.368374,0.195132,-0.310051,0.066712
5.175,1.124085,5.729567,9.236974,2.702255,-0.686501,0.141064
5.2,1.144926,7.093777,8.054079,0.31098,-0.290539,-0.127121
5.225,2.383754,5.282295,7.85254,0.447077,-0.14121,0.191876
5.25,0.692782,9.127052,9.027327,-0.573784,0.189542,-0.144126
5.275,1.841921,4.57376,8.122656,-2.249978,0.169852,-0.177528
5.3,0.892968,-1.367634,6.540693,1.098367,0.290269,-0.005813
5.325,1.973141,6.57459,9.04057,3.01964,0.386868,0.423665
5.35,0.849283,9.638384,9.855334,0.783728,0.723436,0.176125
5.375,0.416172,6.910078,9.12676,-1.528153,0.401516,-0.062252
5.4,1.234923,1.739319,8.747492,-0.521175,0.41728,-0.067228
5.425,-0.774417,7.472077,11.264177,-0.108178,0.528248,-0.434406
5.45,0.070006,4.063011,9.424547,-1.813825,-0.082475,-0.205893
5.475,1.461296,3.60143,8.83798,0.338583,-0.053928,-0.238733
5.5,0.796749,6.547514,10.173716,0.267244,0.037388,0.064667
5.525,0.830335,7.6323,10.211117,-0.677621,-0.089258,0.06896
5.55,0.557757,4.190527,8.381514,-1.992845,0.02514,0.266574
5.575,1.107437,3.007556,8.588223,-0.942067,-0.185963,0.302306
5.6,0.370754,2.983637,7.80174,-0.030659,0.220661,-0.171563
5.625,0.530774,5.152902,7.07523,0.007261,-0.131654,0.01796
5.65,0.372519,3.379635,7.762558,0.121067,0.230782,0.157062
5.675,0.56168,7.222871,8.179249,0.782222,-0.142798,0.482546
5.7,0.397969,6.276683,7.851505,-1.322532,0.241038,0.36595
5.725,0.593972,1.031339,6.402484,-0.643089,0.059091,0.122622
5.75,-0.167681,1.810303,6.303124,1.983235,0.272817,-0.108429
