kc_type,experiment_id,motion_folder,motion_index,motion_name,file_type,path,sampling_frequency,n_samples,duration_sec
arm,exp03,motion07_dangle3,motion07,dangle3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion07_dangle3\exp03_motion07_imu_nonrigid.csv,40.0,1100,27.5
arm,exp03,motion07_dangle3,motion07,dangle3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion07_dangle3\exp03_motion07_imu_rigid.csv,40.0,1100,27.5
arm,exp03,motion07_dangle3,motion07,dangle3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion07_dangle3\exp03_motion07_omc.csv,30.0,825,27.5
arm,exp03,motion08_pause3,motion08,pause3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion08_pause3\exp03_motion08_imu_nonrigid.csv,40.0,250,6.25
arm,exp03,motion08_pause3,motion08,pause3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion08_pause3\exp03_motion08_imu_rigid.csv,40.0,250,6.25
arm,exp03,motion08_pause3,motion08,pause3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion08_pause3\exp03_motion08_omc.csv,30.0,187,6.233333333333333
arm,exp03,motion09_dangle4,motion09,dangle4,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion09_dangle4\exp03_motion09_imu_nonrigid.csv,40.0,2900,72.5
arm,exp03,motion09_dangle4,motion09,dangle4,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion09_dangle4\exp03_motion09_imu_rigid.csv,40.0,2900,72.5
arm,exp03,motion09_dangle4,motion09,dangle4,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion09_dangle4\exp03_motion09_omc.csv,30.0,2175,72.5
arm,exp03,motion10_pause4,motion10,pause4,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion10_pause4\exp03_motion10_imu_nonrigid.csv,40.0,362,9.05
arm,exp03,motion10_pause4,motion10,pause4,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion10_pause4\exp03_motion10_imu_rigid.csv,40.0,362,9.05
arm,exp03,motion10_pause4,motion10,pause4,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp03\motion10_pause4\exp03_motion10_omc.csv,30.0,272,9.066666666666666
arm,exp04,motion01_slow_global,motion01,slow_global,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion01_slow_global\exp04_motion01_imu_nonrigid.csv,40.0,1970,49.25
arm,exp04,motion01_slow_global,motion01,slow_global,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion01_slow_global\exp04_motion01_imu_rigid.csv,40.0,1970,49.25
arm,exp04,motion01_slow_global,motion01,slow_global,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion01_slow_global\exp04_motion01_omc.csv,120.0,5910,49.25
arm,exp04,motion02_pause1,motion02,pause1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion02_pause1\exp04_motion02_imu_nonrigid.csv,40.0,90,2.25
arm,exp04,motion02_pause1,motion02,pause1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion02_pause1\exp04_motion02_imu_rigid.csv,40.0,90,2.25
arm,exp04,motion02_pause1,motion02,pause1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion02_pause1\exp04_motion02_omc.csv,120.0,270,2.25
arm,exp04,motion03_fast_global,motion03,fast_global,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion03_fast_global\exp04_motion03_imu_nonrigid.csv,40.0,1650,41.25
arm,exp04,motion03_fast_global,motion03,fast_global,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion03_fast_global\exp04_motion03_imu_rigid.csv,40.0,1650,41.25
arm,exp04,motion03_fast_global,motion03,fast_global,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion03_fast_global\exp04_motion03_omc.csv,120.0,4950,41.25
arm,exp04,motion04_pause2,motion04,pause2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion04_pause2\exp04_motion04_imu_nonrigid.csv,40.0,350,8.75
arm,exp04,motion04_pause2,motion04,pause2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion04_pause2\exp04_motion04_imu_rigid.csv,40.0,350,8.75
arm,exp04,motion04_pause2,motion04,pause2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion04_pause2\exp04_motion04_omc.csv,120.0,1050,8.75
arm,exp04,motion05_dangle_global1,motion05,dangle_global1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion05_dangle_global1\exp04_motion05_imu_nonrigid.csv,40.0,1800,45.0
arm,exp04,motion05_dangle_global1,motion05,dangle_global1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion05_dangle_global1\exp04_motion05_imu_rigid.csv,40.0,1800,45.0
arm,exp04,motion05_dangle_global1,motion05,dangle_global1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion05_dangle_global1\exp04_motion05_omc.csv,120.0,5400,45.0
arm,exp04,motion06_pause3,motion06,pause3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion06_pause3\exp04_motion06_imu_nonrigid.csv,40.0,90,2.25
arm,exp04,motion06_pause3,motion06,pause3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion06_pause3\exp04_motion06_imu_rigid.csv,40.0,90,2.25
arm,exp04,motion06_pause3,motion06,pause3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion06_pause3\exp04_motion06_omc.csv,120.0,270,2.25
arm,exp04,motion07_dangle_global2,motion07,dangle_global2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion07_dangle_global2\exp04_motion07_imu_nonrigid.csv,40.0,2100,52.5
arm,exp04,motion07_dangle_global2,motion07,dangle_global2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp04\motion07_dangle_global2\exp04_motion07_imu_rigid.csv,40.0,2100,52.5
