variant_name,description,outputs_root,attach_latent_dim,time_l1,mse,spectral,acc_channel_rmse_improvement,acc_channel_rmse_mean,acc_norm_rmse,gyr_channel_rmse_improvement,gyr_channel_rmse_mean,gyr_norm_rmse,hf_ratio_improvement_mean,input_acc_channel_rmse_mean,input_acc_norm_rmse,input_gyr_channel_rmse_mean,input_gyr_norm_rmse,input_rmse_mean,num_windows,pearson_mean,psd_distance_mean,rmse_mean,seed,seed_label
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0042,8,1.0,0.0,0.2,0.8584187586929432,0.6316281169399207,0.5164618760800028,0.25375665760064,0.1400229634337286,0.1800352833276521,8.333306581916432,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.851028759707502,0.0513207074525922,0.3858255401868247,42,seed_0042
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0043,8,1.0,0.0,0.2,0.8496177094509217,0.640429166181942,0.5262816709374689,0.2504495467939691,0.14333007424039954,0.18355665180225758,8.305906820024132,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.849770892593113,0.055080921078590514,0.39187962021117084,43,seed_0043
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0044,8,1.0,0.0,0.2,0.8531104330649647,0.6369364425678992,0.522113378144383,0.2516952060096756,0.14208441502469302,0.18252957175709855,8.27004990372481,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8489973030145084,0.05281039819481538,0.3895104287962961,44,seed_0044
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0045,8,1.0,0.0,0.2,0.8536913010572134,0.6363555745756504,0.5218081830284534,0.25274524252855335,0.14103437850581527,0.1793436165607899,8.259939065541465,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.850844164992839,0.054344875533653206,0.3886949765407328,45,seed_0045
no_mse_loss,Remove MSE reconstruction loss only.,outputs/supervised_tcn_causal_ablations/no_mse_loss/seed_runs/seed_0046,8,1.0,0.0,0.2,0.8443955506469856,0.6456513249858782,0.5307286480214279,0.24985671411856625,0.14392290691580237,0.1835984954103218,8.229828130914417,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8501983108453611,0.05594248593906999,0.39478711595084026,46,seed_0046
no_spectral_loss,Remove spectral consistency loss only.,outputs/supervised_tcn_causal_ablations/no_spectral_loss/seed_runs/seed_0042,8,1.0,1.0,0.0,0.8555339744114686,0.634512901221395,0.5163604227374416,0.252294511416766,0.14148510961760263,0.1766235316851208,8.242240107369778,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8457082730455369,0.0568020684756786,0.3879990054194989,42,seed_0042
no_spectral_loss,Remove spectral consistency loss only.,outputs/supervised_tcn_causal_ablations/no_spectral_loss/seed_runs/seed_0043,8,1.0,1.0,0.0,0.8581250842918927,0.6319217913409709,0.5140190691477126,0.2539186952168303,0.1398609258175383,0.17223063861808507,8.285628498923948,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8454793573789449,0.05547905080185062,0.3858913585792546,43,seed_0043
no_spectral_loss,Remove spectral consistency loss only.,outputs/supervised_tcn_causal_ablations/no_spectral_loss/seed_runs/seed_0044,8,1.0,1.0,0.0,0.8474591188069474,0.6425877568259164,0.5208105404574205,0.25049191656641173,0.14328770446795688,0.17770856180874814,8.17537881735167,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8444929756219275,0.05748746099867404,0.39293773064693666,44,seed_0044
no_spectral_loss,Remove spectral consistency loss only.,outputs/supervised_tcn_causal_ablations/no_spectral_loss/seed_runs/seed_0045,8,1.0,1.0,0.0,0.8557327661300892,0.6343141095027746,0.5150956954109279,0.25307042553771214,0.1407091954966565,0.17483691942180518,8.262259089976673,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.84504358776285,0.05588368202543685,0.3875116524997156,45,seed_0045
no_spectral_loss,Remove spectral consistency loss only.,outputs/supervised_tcn_causal_ablations/no_spectral_loss/seed_runs/seed_0046,8,1.0,1.0,0.0,0.8249375119539162,0.6651093636789477,0.5300382400915625,0.24785374182377404,0.1459258792105946,0.17871288640948255,8.027178081592744,1.490046875632864,1.2493681899278055,0.3937796210343687,0.6131447047228668,0.9419132483336161,8633,0.8435941539487749,0.05862877772648386,0.40551762144477116,46,seed_0046
